,Tieu de,Tác giả,Người dịch,Nhà xuất bản,Nhà phát hành,Mã Sản phẩm,Giấy phép XB,Khối lượng,Ngôn ngữ,Định dạng,Kích thước,Ngày phát hành,Số trang
12,Chicken Soup For The Father’S Soul 23 - Trái Tim Người Cha,"Jack Canfield, Mark Victor Hansen",NaN,Nxb Tổng hợp TP.HCM,Trí Việt,8935086856192,NaN,500.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,176
13,Move Up 2 (2022),Nhiều tác giả,NaN,NXB Giáo Dục,Phương Nam,9786040303042,-QĐ/GD,205.00 gam,Tiếng Việt,Bìa mềm,27.5 x 20.5 x 0.5 cm,2022,76
14,Năng Lượng Từ Hơi Thở,Bích Nguyễn,NaN,NXB Thanh Niên,1980Books,8936066691284,-QĐ/NXB ThN,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,260
15,Giải Mã Hành Vi Đọc Vị Cảm Xúc,Patrick King,Thanh Huyền,NXB ĐH Kinh tế Quốc dân,1980Books,8936066691277,-QĐ/NXB ĐHKTQD,500.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,256
16,Bạn Càng Mạnh Mẽ Thế Giới Càng Công Bằng,Patrick King,Thanh Bình,NXB Thanh Niên,1980Books,8936066690881,-QĐ/ThN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 cm,2021,400
17,Lắng Nghe Để Dạy Con Đúng Cách,Koso Tokiko,Kim Ngân,NXB Công Thương,1980Books,8936066690645,-QĐ/CT,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 x 1.2 cm,2021,246
18,Những Câu Hỏi Lớn Vũ Trụ (Tái Bản),"Stuart Clark, Simon Blackburn",NaN,NXB Dân Trí,Alpha books,8935309502431,NaN,500.00 gam,Tiếng Việt,NaN,20.5 x 14.5 cm,2022,348
19,Anh Em Phi Hành Gia - Tập 34,Chuya Koyama,NaN,Nxb Trẻ,NXB Trẻ,8934974181620,NaN,450.00 gam,Tiếng Việt,Bìa mềm,19 x 13 x 1 cm,2022,208
20,HBR Onpoint 2021 - Đổi Mới Mô Hình Kinh Doanh (Tái Bản 2022),Harvard Business Review,NaN,NXB ĐH Kinh tế Quốc dân,Alpha books,8935251419078,NaN,600.00 gam,Tiếng Việt,Bìa mềm,26.5 x 20.5 cm,2022,156
21,HBR Onpoint 2021: Quản Lý Trong Bối Cảnh Suy Thoái (Tái Bản 2022),Harvard Business Review,NaN,NXB ĐH Kinh tế Quốc dân,Alpha books,8935251419061,NaN,600.00 gam,Tiếng Việt,Bìa mềm,26.5 x 20.5 cm,2022,128
22,The One Thing - Điều Ý Nghĩa Nhất,Jay Papasan Gary Keller,NaN,Nxb Lao động,Alpha books,8935251419191,NaN,400.00 gam,Tiếng Việt,Bìa mềm,20.5 x 13 cm,2022,260
